Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,,,,,,,,,,,,,,0.038533333,0.037633333,0.035833333,-0.119266667,0.039833333,0.041533333,0.040133333,-0.113966667,-0.111866667,,,,0.043233333,0.037633333,0.041933333,-0.117466667,0.039133333,0.039433333,0.039833333,-0.118066667,-0.121266667,,,,0.039333333,0.037533333,0.039933333,-0.116666667,0.035433333,0.037633333,0.035133333,-0.121566667,-0.118266667,,,,0.036333333,0.040433333,-0.007466667,-0.115466667,0.036033333,0.042433333,0.001533333,-0.113266667,-0.113166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00:00,,,,,,,,,,,,,,0.03865,0.03805,0.03585,-0.11945,0.03985,0.04165,0.04045,-0.11435,-0.11225,,,,0.04415,0.03775,0.04215,-0.11775,0.03945,0.03955,0.04005,-0.11775,-0.12125,,,,0.03965,0.03805,0.04005,-0.11655,0.03585,0.03755,0.03525,-0.12145,-0.11825,,,,0.03645,0.04085,-0.00705,-0.11545,0.03625,0.04135,0.00145,-0.11305,-0.11305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00:00,,,,,,,,,,,,,,0.039033333,0.038333333,0.036333333,-0.118766667,0.039933333,0.041633333,0.040833333,-0.113566667,-0.111466667,,,,0.044533333,0.038333333,0.042533333,-0.116766667,0.039633333,0.040033333,0.040433333,-0.117066667,-0.120466667,,,,0.040133333,0.038533333,0.040533333,-0.115666667,0.036233333,0.037733333,0.035433333,-0.120466667,-0.117666667,,,,0.036833333,0.041033333,-0.006766667,-0.114766667,0.036433333,0.039833333,0.001333333,-0.112266667,-0.112366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00:00,,,,,,,,,,,,,,0.0397,0.0381,0.0362,-0.1186,0.0396,0.0415,0.0407,-0.113,-0.1111,,,,0.0444,0.0382,0.0424,-0.1166,0.0393,0.0398,0.0401,-0.1168,-0.1203,,,,0.0403,0.0384,0.0406,-0.1156,0.0359,0.0377,0.0352,-0.1204,-0.1174,,,,0.0368,0.0411,-0.0068,-0.1145,0.0364,0.0398,0.0011,-0.112,-0.1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:59:59,,,,,,,,,,,,,,0.040333333,0.038133333,0.036233333,-0.117966667,0.039633333,0.041733333,0.040633333,-0.112566667,-0.110366667,,,,0.045233333,0.038433333,0.042633333,-0.115966667,0.039633333,0.040233333,0.040433333,-0.116066667,-0.119666667,,,,0.040933333,0.038833333,0.040933333,-0.115066667,0.036333333,0.037933333,0.035433333,-0.119766667,-0.116566667,,,,0.036933333,0.041433333,-0.006566667,-0.113966667,0.036333333,0.038933333,0.000633333,-0.111366667,-0.111366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00:00,,,,,,,,,,,,,,0.041716667,0.037916667,0.035816667,-0.117583333,0.039516667,0.041716667,0.040616667,-0.112183333,-0.109983333,,,,0.045716667,0.038816667,0.042716667,-0.115583333,0.039716667,0.040316667,0.040816667,-0.115583333,-0.119183333,,,,0.041616667,0.038916667,0.040916667,-0.114383333,0.036616667,0.038316667,0.035816667,-0.119483333,-0.116183333,,,,0.036816667,0.041616667,-0.006583333,-0.113383333,0.036216667,0.038916667,0.000216667,-0.110983333,-0.111083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00:00,,,,,,,,,,,,,,0.04485,0.03785,0.03595,-0.11685,0.03995,0.04185,0.04095,-0.11145,-0.10945,,,,0.04715,0.03905,0.04315,-0.11495,0.03985,0.04085,0.04145,-0.11485,-0.11855,,,,0.04295,0.03935,0.04135,-0.11395,0.03685,0.03885,0.03615,-0.11865,-0.11565,,,,0.03665,0.04165,-0.00675,-0.11285,0.03625,0.03865,0.00015,-0.11035,-0.11045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:59:59,,,,,,,,,,,,,,0.049866667,0.037766667,0.035966667,-0.116433333,0.040466667,0.042666667,0.041666667,-0.111233333,-0.108933333,,,,0.049066667,0.039366667,0.042866667,-0.114533333,0.039766667,0.041466667,0.042066667,-0.114633333,-0.118333333,,,,0.044866667,0.039366667,0.041166667,-0.113333333,0.037166667,0.039366667,0.036966667,-0.118333333,-0.115433333,,,,0.036766667,0.041866667,-0.006633333,-0.112533333,0.036166667,0.038166667,-0.000333333,-0.109833333,-0.110033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:59:59,,,,,,,,,,,,,,0.0591,0.0376,0.036,-0.1159,0.0418,0.0448,0.0429,-0.1107,-0.1085,,,,0.0531,0.0395,0.0432,-0.114,0.0405,0.0437,0.0439,-0.1139,-0.1175,,,,0.0485,0.0398,0.0416,-0.1129,0.0381,0.0412,0.0381,-0.1177,-0.1145,,,,0.0369,0.042,-0.0066,-0.1118,0.0362,0.0379,-0.0008,-0.1094,-0.1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:59:59,,,,,,,,,,,,,,0.076183333,0.037783333,0.036183333,-0.115216667,0.044683333,0.049183333,0.045283333,-0.110016667,-0.107616667,,,,0.060283333,0.039783333,0.043683333,-0.113216667,0.042183333,0.047983333,0.046983333,-0.113516667,-0.116716667,,,,0.054683333,0.040083333,0.042183333,-0.112116667,0.039383333,0.044983333,0.040683333,-0.117116667,-0.113916667,,,,0.036783333,0.042083333,-0.006916667,-0.111216667,0.036283333,0.037683333,-0.001116667,-0.108516667,-0.108616667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
